Date,Key,Decopler Box,HV Board,HV CH,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z
2019-07-22,126,2,2,7,F1B23,7,61,14,FB0623,1450,C23R4,1,0.914523,-0.528,-0.211
2019-07-22,128,2,2,22,F2Y8,8,97,0,FB0503,1960,C5R1,0,0.528,0.914523,0.422
2019-07-22,129,2,2,34,F2G15,8,97,1,FB0524,1430,C14R5,0,-1.02002,-0.273313,-0.422
2019-07-22,130,2,2,46,F2B18,8,97,2,FB0638,1430,C10R4,0,-0.746705,0.746705,-0.211
2019-07-22,131,1,0,10,F2B1,8,97,3,FB0545,1550,C7R2,0,6.46614E-17,1.056,0.211
2019-07-22,132,1,0,22,F2B6,8,97,4,FB0546,1690,C8R2,1,-0.273313,1.02002,0.211
2019-07-22,133,3,4,9,F1Y16,8,97,5,FB0490,1700,C18R4,0,-0.273313,-1.02002,-0.211
2019-07-22,134,3,4,21,F1G14,8,97,6,FB0481,1480,C2R4,0,1.02002,0.273313,-0.211
2019-07-22,135,3,4,33,F1B13,8,97,7,FB0625,1580,C21R4,1,0.528,-0.914523,-0.211
2019-07-22,136,3,4,45,F1G8,8,97,8,FB0520,1780,C1R3,0,1.056,0,0
2019-07-22,137,2,2,9,F1G1,8,97,9,FB0567,1470,C24R1,0,1.02002,-0.273313,0.422
2019-07-22,138,2,2,21,F2G9,8,97,10,FB0554,1660,C13R4,1,-1.056,1.29323E-16,-0.211
2019-07-22,139,2,2,33,F2Y11,8,97,11,FB0500,1580,C5R4,1,0.528,0.914523,-0.211
2019-07-22,140,2,2,45,F2B17,8,97,12,FB0577,1350,C10R3,0,-0.746705,0.746705,0
2019-07-22,141,1,0,9,F2B22,8,97,13,FB0584,1540,C11R3,0,-0.914523,0.528,0
2019-07-22,142,1,0,21,F2G4,8,97,14,FB0582,1580,C12R4,0,-1.02002,0.273313,-0.211
2019-07-22,144,3,4,11,F1G10,9,98,0,FB0640,1530,C1R5,0,1.056,0,-0.422
2019-07-22,145,3,4,23,F1G11,9,98,1,FB0474,1480,C2R1,0,1.02002,0.273313,0.422
2019-07-22,146,3,4,35,F1B14,9,98,2,FB0564,1660,C21R5,0,0.528,-0.914523,-0.422
2019-07-22,147,3,4,47,F1B4,9,98,3,FB0600,1480,C19R5,0,-1.93984E-16,-1.056,-0.422
2019-07-22,148,0,0,0,F3G32,9,98,4,EJ301D,1425,C-3R1,1,-998,-998,-998
2019-07-22,149,2,2,23,F2B10,9,98,5,FB0576,1630,C9R1,0,-0.528,0.914523,0.422
2019-07-22,150,2,2,35,F2Y10,9,98,6,FB0540,1670,C5R3,0,0.528,0.914523,0
2019-07-22,151,2,2,47,F2Y12,9,98,7,FB0544,1600,C5R5,0,0.528,0.914523,-0.422
2019-07-22,152,1,0,11,F2Y17,9,98,8,FB0537,1700,C6R5,0,0.273313,1.02002,-0.422
2019-07-22,153,1,0,23,F2G5,9,98,9,FB0579,1430,C12R5,0,-1.02002,0.273313,-0.422
2019-07-22,154,3,4,10,F1Y17,9,98,10,FB0603,1500,C18R5,0,-0.273313,-1.02002,-0.422
2019-07-22,155,3,4,22,F1B9,9,98,11,FB0604,1330,C20R5,0,0.273313,-1.02002,-0.422
2019-07-22,156,3,4,34,F1Y10,9,98,12,FB0497,1600,C17R3,0,-0.528,-0.914523,0
2019-07-22,157,3,4,46,F1Y6,9,98,13,FB0485,1410,C16R4,0,-0.746705,-0.746705,-0.211
2019-07-22,158,2,2,10,F1R1,9,98,14,FB0472,1700,VB1,0,-999,-999,-999
2019-07-22,320,2,2,11,FR12,20,0,0,FB0471,1750,VB2,0,-999,-999,-999
