Decoupler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold,ADC2PE2,HV On,SPE rate,"Type (1in,2uncoat,3coat)",Cable#,Flange_num,Ring_num,Swage_num,Key
3,3,37,F3,B3,F3B3,9,10,10,FB0761,1657,C16R4,0,-72.1249,-72.1249,-23.11,30.53,8.25,30.53,1,1,3,119,3,4,3,154
3,3,10,F1,G10,F1G10,7,8,11,FB0762,1690,C20R4,0,26.3995,-98.5244,-23.11,29.87,5.25,29.87,1,1,3,129,1,3,10,123
2,2,11,F1,B9,F1B9,5,6,8,FB0763,1750,C17R1,0,-51,-88.3346,46.22,29.17,3.75,29.17,1,1,3,150,1,4,9,88
5,0,8,F1,B17,F1B17,13,14,4,FB0765,1584,C310R6,0,-50.1591,-36.4427,-58,27.68,8.75,27.68,1,1,3,166,1,4,17,212
3,3,29,F2,G2,F2G2,9,10,2,FB0766,1588,C8R1,0,-26.3995,98.5244,46.22,20.75,9.25,20.75,1,1,3,76,2,3,2,146
5,0,1,F2,Y9,F2Y9,13,14,10,FB0768,1850,C23R1,0,88.3346,-51,46.22,11.19,7.75,11.19,1,1,3,68,2,2,9,218
3,3,27,F3,G9,F3G9,8,9,0,FB0769,1750,C12R5,0,-98.5244,26.3995,-46.22,26.34,9.25,26.34,1,1,3,103,3,3,9,128
3,3,6,F2,G1,F2G1,7,8,7,FB0771,1800,C4R1,0,72.1249,72.1249,46.22,14,10.25,14,1,1,3,75,2,3,1,119
4,4,15,F2,Y7,F2Y7,11,12,5,FB0772,1750,C23R4,0,88.3346,-51,-23.11,20.99,9.25,20.99,1,1,3,66,2,2,7,181
4,4,26,F2,Y8,F2Y8,11,12,0,FB0773,1650,C23R3,0,88.3346,-51,0,31.29,9.75,31.29,1,1,3,67,2,2,8,176
